SSN,TYPE,StockName
SBI,N50,
UPL,N50,UPL Limited.
AXISBANK,N50,AXIS BANK LTD.
WIPRO,N50,WIPRO LTD.
HCLTECH,N50,HCL TECHNOLOGIES LTD.
RELIANCE,N50,RELIANCE INDUSTRIES LTD.
BHARTIARTL,N50,BHARTI AIRTEL LTD.
COALINDIA,N50,COAL INDIA LTD.
GRASIM,N50,GRASIM INDUSTRIES LTD.
BAJAJ-AUTO,N50,BAJAJ AUTO LTD.
YESBANK,N50,YES BANK LTD.
TECHM,N50,TECH MAHINDRA LTD.
SUNPHARMA,N50, SUN PHARMACEUTICAL INDUSTRIES LTD
HINDALCO,N50,HINDALCO INDUSTRIES LTD.
GAIL,N50,GAIL (INDIA) LTD.
HDFCBANK,N50,HDFC Bank Ltd
TATASTEEL,N50,TATA STEEL LTD.
JSTL,N50,Jeevan Scientific Technology Ltd
HINDUNILVR,N50,HINDUSTAN UNILEVER LTD.
INFY,N50, INFOSYS LTD.
INFRATEL,N50,BHARTI INFRATEL LTD.
TATAMOTORS,N50,TATA MOTORS LTD.
KOTAKBANK,N50,KOTAK MAHINDRA BANK LTD.
ZEEL,N50,#N/A
ASIANPAINT,N50,#N/A
LART,N50,#N/A
TITAN,N50,Titan Company Limited
TCS,N50,#N/A
ADANIPORTS,N50,#N/A
ITC,N50,#N/A
VEDL,N50,Vedanta Limited
ONGC,N50,OIL AND NATURAL GAS CORPORATION LTD.
M&M,N50,#N/A
HDFC,N50,HOUSING DEVELOPMENT FINANCE CORP.LTD.
ICICIBANK,N50,#N/A
POWERGRID,N50,#N/A
NTPC,N50,#N/A
HINDPETRO,N50,HINDUSTAN PETROLEUM CORPORATION LTD.
BPCL,N50,#N/A
INDUSINDBK,N50,#N/A
IBULHSGFIN,N50,#N/A
IOC,N50,#N/A
CIPLA,N50,CIPLA LTD.
DALMIABHA,,#N/A
RPPINFRA,,#N/A
PHARMAID,,#N/A
OLPCL,,#N/A
TNTELE,,#N/A
,,PHARMAIDS PHARMACEUTICALS LTD.
